test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
170,100,150,50,64,0.8801903600000001,0.86830001,0.933776235,0.7325333333333334,0.8225563909774436,0.7397171402620994,0.7162048930124514
171,100,150,50,128,0.8794937599999999,0.9282438700000001,0.981130185,0.9955333333333334,0.9954510163960175,0.9956459365819841,0.9955308862253949
172,100,150,100,32,0.85309097,0.90980832,0.978333825,0.9949333333333333,0.994848792690622,0.9950510033856724,0.9949306047820512
173,100,150,100,64,0.8844766150000001,0.9254511750000001,0.981332525,0.9949333333333333,0.994848792690622,0.9950510033856724,0.9949306047820512
174,100,150,100,128,0.89011233,0.936280605,0.976117105,0.9940666666666667,0.9940311651111056,0.9940971300964889,0.9940625493745163
175,100,150,500,32,0.8530983600000001,0.9189903150000001,0.982249525,0.9998666666666667,0.9998629198080877,0.999870247826651,0.9998665660016861
176,100,150,500,64,0.87274088,0.93603576,0.9819098249999999,0.9979333333333333,0.9979411104936894,0.9979225508156426,0.9979317195138202
177,100,150,500,128,0.8317523099999999,0.9563007800000001,0.985827785,0.9989333333333333,0.9989253282462525,0.9989398857807257,0.9989325358189829
178,100,150,1000,32,0.594742925,0.43034455000000005,0.353727575,0.9586,0.9594441198778263,0.9593694492716771,0.958599918855841
179,100,150,1000,64,0.864503685,0.831943885,0.9780300550000001,0.9932,0.9934008503541766,0.9930438210611315,0.9931925567112527
180,100,150,1000,128,0.8843578900000001,0.9101384150000001,0.982833705,0.9954666666666667,0.9954028416420214,0.9955405496357572,0.9954638767694349
181,100,200,50,32,0.839617835,0.9448096200000001,0.972130535,0.9438666666666666,0.9507544742075096,0.9422734128616481,0.9434703217667495
182,100,200,50,64,0.8636757749999999,0.9531127500000001,0.973402135,0.9964,0.9965210668728257,0.9962978198272316,0.9963964922013685
183,100,200,50,128,0.735033745,0.8688423750000001,0.941703405,0.8910666666666667,0.9084798924610731,0.8939924743739458,0.8903412619300295
184,100,200,100,32,0.80196154,0.92741787,0.9725217049999999,0.9928,0.9927034060521743,0.9929860170283316,0.9927969234859867
185,100,200,100,64,0.86155456,0.90453686,0.9749646850000001,0.9949333333333333,0.9948501100426713,0.9950473205802586,0.9949305733121365
186,100,200,100,128,0.8918592250000001,0.9227951099999999,0.983062105,0.9940666666666667,0.9940148729725369,0.994119226928972,0.9940627958998567
187,100,200,500,32,0.84202632,0.9347629800000001,0.981694475,0.993,0.9932580570921579,0.9928123647469697,0.9929918029323819
188,100,200,500,64,0.8786441500000001,0.9458618200000001,0.9806779149999999,0.9954666666666667,0.9953880286155252,0.995570012079068,0.9954641117318419
189,100,200,500,128,0.868710485,0.91112303,0.977044645,0.9983333333333333,0.9983005143711989,0.9983670494168971,0.9983321767905944
190,100,200,1000,32,0.85085259,0.78970044,0.9702793049999999,0.9897333333333334,0.9896602658788773,0.9900090826521344,0.9897302478433521
191,100,200,1000,64,0.8961824799999999,0.93681076,0.9798364350000001,0.9934666666666667,0.9934352446428412,0.9934911484839358,0.9934620638433824
192,100,200,1000,128,0.885550555,0.9397168450000002,0.982857475,0.9997333333333334,0.9997331300424744,0.9997331300424744,0.9997331300424744
